wavelength,jRGECO1a (calcium saturated) ab,jRGECO1a (calcium free) em,jRGECO1a (calcium free) ex,jRGECO1a (calcium free) 2p,jRGECO1a (calcium saturated) em,jRGECO1a (calcium saturated) ex,jRGECO1a (calcium saturated) 2p
538,0.5608,,0.5564,,,0.6448,
539,0.5683,,0.5628,,,0.6493,
540,0.5763,0.0103,0.5679,,0.007,0.6553,
541,0.5839,0.0098,0.5725,,0.0074,0.6646,
542,0.5931,0.0098,0.5777,,0.0083,0.6765,
543,0.6038,0.0099,0.5822,,0.0095,0.689,
544,0.6135,0.0101,0.5853,,0.0109,0.7006,
545,0.6245,0.0101,0.5886,,0.0124,0.7137,
546,0.6398,0.0105,0.593,,0.0144,0.729,
547,0.6573,0.011,0.5987,,0.0167,0.7458,
548,0.6741,0.0113,0.6037,,0.0193,0.7622,
549,0.6893,0.0117,0.6087,,0.0223,0.7796,
550,0.7053,0.0124,0.6137,,0.0261,0.7979,
551,0.7218,0.0132,0.6198,,0.0304,0.8178,
552,0.7404,0.0141,0.628,,0.0356,0.8389,
553,0.7587,0.0156,0.6373,,0.0419,0.8592,
554,0.7743,0.0178,0.6469,,0.0491,0.8777,
555,0.7922,0.0202,0.6572,,0.057,0.8947,
556,0.8093,0.0229,0.6701,,0.0662,0.9124,
557,0.8245,0.0255,0.6829,,0.0772,0.9298,
558,0.8372,0.0281,0.6947,,0.0902,0.9456,
559,0.8497,0.0314,0.7077,,0.1043,0.9607,
560,0.8598,0.0363,0.7234,,0.1196,0.9741,
561,0.8651,0.0417,0.7409,,0.1367,0.986,
562,0.8693,0.0472,0.7591,,0.1559,0.9949,
563,0.8713,0.0531,0.7799,,0.1779,0.9995,
564,0.8704,0.0603,0.8011,,0.2035,1.0,
565,0.8667,0.0687,0.8191,,0.2319,0.9991,
566,0.86,0.0789,0.8348,,0.2619,0.9969,
567,0.8496,0.09,0.8532,,0.2932,0.9898,
568,0.8353,0.1021,0.8752,,0.3272,0.9757,
569,0.8182,0.1163,0.8957,,0.3639,0.9571,
570,0.7965,0.1337,0.9148,,0.4046,0.9361,
571,0.7708,0.154,0.934,,0.4484,0.9112,
572,0.7507,0.1755,0.9506,,0.4948,0.8816,
573,0.7121,0.1994,0.9629,,0.5423,0.8496,
