wavelength ,blue_ex,blue_raw,green_ex,green_raw,lime_ex,lime_raw,red_ex,em_jrgeco_filter_under blue,em_jrgeco_filter_under green,em_jrgeco_filter_under lime,em_jrgeco_filter_under red,em_525_50_under_blue,dv2_shorter_wl_under_white_led,dv2_longer_wl_under_white_led,
855.01,851.96,788.94,806.58,836.83,904.89,950.26,839.35,758.69,763.73,874.64,758.69,761.21,680.56,758.69,
855.32,882.20,831.79,839.35,854.48,917.49,912.45,824.23,783.90,799.02,811.63,824.23,778.86,791.46,758.69,
855.62,854.48,836.83,821.71,844.39,736.01,965.38,846.91,763.73,738.53,781.38,793.98,814.15,766.26,771.30,
855.93,892.28,841.87,773.82,882.20,884.72,1008.23,914.97,771.30,799.02,781.38,829.27,758.69,783.90,819.19,
856.23,826.75,816.67,821.71,862.04,857.00,882.20,836.83,814.15,801.54,796.50,791.46,811.63,733.49,778.86,
856.54,751.13,851.96,894.80,799.02,854.48,925.05,786.42,718.36,778.86,748.61,733.49,756.17,753.65,862.04,
856.84,824.23,857.00,877.16,811.63,862.04,1003.19,864.56,751.13,816.67,829.27,753.65,816.67,778.86,758.69,
857.15,864.56,788.94,771.30,796.50,839.35,1003.19,806.58,781.38,728.45,738.53,778.86,831.79,766.26,728.45,
857.45,829.27,799.02,796.50,811.63,839.35,942.70,839.35,768.78,741.05,768.78,793.98,799.02,698.20,816.67,
857.76,839.35,781.38,773.82,851.96,836.83,925.05,824.23,728.45,811.63,786.42,773.82,776.34,708.28,801.54,
858.06,867.08,834.31,768.78,761.21,859.52,957.82,733.49,793.98,756.17,796.50,821.71,781.38,776.34,751.13,
858.37,748.61,811.63,806.58,809.11,874.64,977.98,730.97,806.58,859.52,705.76,806.58,844.39,753.65,763.73,
858.67,786.42,841.87,791.46,796.50,892.28,945.22,746.09,713.32,819.19,846.91,831.79,788.94,763.73,733.49,
858.98,826.75,809.11,819.19,872.12,851.96,950.26,791.46,862.04,781.38,814.15,708.28,793.98,730.97,683.08,
859.28,849.43,788.94,882.20,824.23,882.20,983.02,791.46,751.13,778.86,799.02,862.04,816.67,761.21,806.58,
859.59,804.06,776.34,874.64,844.39,849.43,950.26,846.91,844.39,799.02,741.05,834.31,829.27,771.30,710.80,
859.89,814.15,806.58,864.56,844.39,907.41,977.98,874.64,781.38,751.13,806.58,819.19,793.98,799.02,867.08,
860.20,872.12,778.86,826.75,869.60,826.75,955.30,864.56,773.82,713.32,778.86,788.94,877.16,753.65,753.65,
860.50,867.08,791.46,841.87,761.21,872.12,947.74,783.90,756.17,756.17,781.38,806.58,766.26,786.42,791.46,
860.81,814.15,912.45,821.71,864.56,879.68,985.55,841.87,766.26,811.63,786.42,857.00,826.75,723.41,728.45,
861.11,768.78,763.73,814.15,854.48,904.89,1015.79,859.52,733.49,806.58,819.19,849.43,710.80,741.05,763.73,
861.42,806.58,799.02,836.83,824.23,874.64,925.05,859.52,786.42,773.82,801.54,768.78,831.79,811.63,756.17,
861.72,869.60,776.34,841.87,799.02,859.52,947.74,872.12,799.02,705.76,791.46,824.23,819.19,809.11,730.97,
862.03,834.31,872.12,751.13,884.72,816.67,952.78,786.42,723.41,826.75,834.31,793.98,826.75,733.49,801.54,
862.33,834.31,799.02,849.43,819.19,877.16,930.09,804.06,768.78,773.82,811.63,799.02,801.54,713.32,725.93,
862.63,793.98,874.64,899.85,804.06,935.13,988.07,809.11,834.31,791.46,753.65,801.54,831.79,720.88,781.38,
862.94,821.71,874.64,801.54,829.27,867.08,972.94,846.91,809.11,826.75,718.36,751.13,766.26,720.88,799.02,
863.24,834.31,894.80,874.64,836.83,758.69,920.01,889.76,834.31,788.94,801.54,695.68,791.46,756.17,799.02,
863.55,809.11,831.79,824.23,786.42,867.08,1000.67,862.04,819.19,811.63,841.87,814.15,841.87,778.86,778.86,
863.85,872.12,804.06,814.15,839.35,854.48,990.59,811.63,796.50,786.42,771.30,746.09,806.58,864.56,741.05,
864.15,874.64,849.43,920.01,756.17,836.83,945.22,839.35,771.30,801.54,834.31,708.28,819.19,781.38,753.65,
864.46,834.31,841.87,829.27,824.23,751.13,1038.48,821.71,809.11,778.86,773.82,768.78,778.86,814.15,771.30,
864.76,763.73,788.94,831.79,773.82,912.45,907.41,799.02,814.15,783.90,859.52,778.86,703.24,773.82,783.90,
865.07,776.34,806.58,834.31,839.35,857.00,955.30,836.83,801.54,831.79,748.61,768.78,768.78,776.34,776.34,
865.37,849.43,831.79,821.71,857.00,864.56,1013.27,834.31,756.17,771.30,771.30,776.34,720.88,763.73,723.41,
865.67,801.54,829.27,849.43,804.06,839.35,975.46,816.67,867.08,753.65,841.87,738.53,851.96,758.69,814.15,
865.98,829.27,899.85,902.37,869.60,841.87,967.90,839.35,809.11,867.08,796.50,804.06,786.42,761.21,826.75,
866.28,882.20,859.52,864.56,826.75,882.20,920.01,806.58,804.06,811.63,874.64,791.46,889.76,748.61,758.69,
866.59,776.34,862.04,864.56,854.48,867.08,1023.35,786.42,839.35,791.46,814.15,816.67,869.60,761.21,768.78,
866.89,826.75,849.43,846.91,806.58,826.75,937.65,834.31,819.19,831.79,786.42,791.46,831.79,756.17,776.34,
867.19,741.05,811.63,824.23,879.68,819.19,960.34,773.82,783.90,778.86,824.23,801.54,874.64,753.65,819.19,
867.50,831.79,851.96,791.46,806.58,819.19,960.34,758.69,793.98,705.76,816.67,829.27,809.11,746.09,741.05,
867.80,766.26,854.48,809.11,778.86,859.52,854.48,826.75,834.31,821.71,718.36,824.23,839.35,811.63,829.27,
868.10,869.60,821.71,854.48,846.91,899.85,988.07,814.15,829.27,781.38,814.15,811.63,793.98,783.90,768.78,
868.41,796.50,904.89,819.19,892.28,897.33,945.22,846.91,839.35,809.11,781.38,763.73,806.58,688.12,672.99,
868.71,829.27,862.04,816.67,796.50,854.48,998.15,816.67,738.53,836.83,796.50,869.60,783.90,786.42,814.15,
869.01,819.19,857.00,877.16,776.34,864.56,1008.23,804.06,841.87,796.50,791.46,753.65,751.13,768.78,751.13,
869.32,1167.03,1212.40,1159.47,1151.90,1119.14,1298.10,1043.52,1098.97,1081.33,1096.45,1104.01,1177.11,1134.26,1141.82,
869.62,829.27,859.52,814.15,912.45,909.93,1030.92,920.01,834.31,834.31,814.15,773.82,799.02,829.27,821.71,
869.92,806.58,761.21,836.83,854.48,917.49,884.72,834.31,804.06,751.13,748.61,884.72,766.26,730.97,730.97,
870.23,844.39,884.72,920.01,899.85,859.52,925.05,874.64,776.34,889.76,874.64,741.05,768.78,804.06,751.13,
870.53,821.71,741.05,854.48,743.57,811.63,935.13,836.83,743.57,778.86,814.15,806.58,793.98,718.36,788.94,
870.83,799.02,819.19,811.63,849.43,879.68,965.38,826.75,788.94,768.78,859.52,748.61,826.75,756.17,819.19,
871.14,867.08,872.12,849.43,889.76,859.52,914.97,778.86,796.50,844.39,811.63,819.19,781.38,746.09,730.97,
871.44,887.24,799.02,809.11,824.23,773.82,955.30,836.83,821.71,806.58,809.11,751.13,811.63,811.63,799.02,
871.74,849.43,829.27,834.31,831.79,857.00,927.57,857.00,783.90,786.42,781.38,829.27,748.61,786.42,761.21,
872.05,862.04,839.35,889.76,877.16,922.53,1035.96,914.97,836.83,816.67,836.83,857.00,882.20,736.01,831.79,
872.35,804.06,839.35,846.91,914.97,894.80,940.18,806.58,791.46,841.87,791.46,834.31,821.71,804.06,854.48,
872.65,806.58,786.42,907.41,819.19,882.20,972.94,748.61,879.68,746.09,811.63,811.63,819.19,793.98,786.42,
872.95,786.42,781.38,836.83,854.48,844.39,947.74,849.43,869.60,751.13,869.60,756.17,758.69,776.34,723.41,
873.26,768.78,836.83,801.54,826.75,857.00,884.72,887.24,748.61,766.26,776.34,746.09,839.35,736.01,791.46,
873.56,839.35,773.82,783.90,831.79,897.33,977.98,839.35,793.98,819.19,799.02,776.34,788.94,756.17,844.39,
873.86,831.79,814.15,912.45,816.67,821.71,1051.08,766.26,748.61,796.50,796.50,715.84,869.60,768.78,799.02,
874.16,783.90,766.26,904.89,892.28,831.79,920.01,849.43,816.67,781.38,811.63,778.86,786.42,824.23,768.78,
874.47,894.80,751.13,839.35,882.20,844.39,967.90,811.63,768.78,773.82,728.45,768.78,814.15,799.02,778.86,
874.77,862.04,799.02,839.35,841.87,821.71,869.60,862.04,844.39,766.26,859.52,703.24,801.54,826.75,799.02,
875.07,799.02,826.75,839.35,839.35,892.28,914.97,862.04,816.67,761.21,771.30,791.46,801.54,771.30,715.84,
875.37,816.67,872.12,884.72,766.26,867.08,947.74,844.39,816.67,867.08,793.98,804.06,766.26,766.26,761.21,
875.68,771.30,811.63,882.20,824.23,859.52,940.18,899.85,814.15,804.06,804.06,846.91,846.91,791.46,713.32,
875.98,814.15,814.15,829.27,768.78,882.20,970.42,829.27,791.46,804.06,763.73,778.86,796.50,781.38,793.98,
876.28,816.67,846.91,897.33,766.26,836.83,1035.96,854.48,788.94,841.87,788.94,781.38,834.31,776.34,804.06,
